Result,Drawing_Index,Drawing_Type,Dp_Number,Drawing_Id,Weight,Dimension_Type_Nominal_Count,Dimension_Type_Nominal_Tolerance,Dimension_Type_Round_Count,Dimension_Type_Round_Tolerance,Inclined_Drilling_Count,Inclined_Drilling_Values,View_Count
Res0001_AC_4_ETZ_001,AC,ETZ,001,'10011234',,79,IT8,13,IT14,1,Ø1.9,13
Res0002_AC_0_RTZ_001,AC,RTZ,001,'R10022345',16.172,114,IT15,6,,1,Ø10.4,12
Res0003_AL_6_RTZ_001,AL,RTZ,001,'0.893',0.900,32,IT15,6,,1,Ø34,7
Res0004_AB_4_GEZ_001,AB,GEZ,001,'RA10043456',,85,IT13,7,5.0,2,"Ø10 +5/0,Ø28",20
Res0005_AG_0_RTZ_001,AG,RTZ,001,'Typ-Nr.\nKenn-Nr.',,32,IT15,7,IT15,0,,8
Res0006_AC_4_ETZ_001,AC,ETZ,001,'1.5 0DFF E',,16,IT11,5,IT13,0,,6
Res0007_AF_0_RTZ_001,AF,RTZ,001,'Index\n01465\n251.20.01.00\nf\nI',,36,8.0,6,IT15,2,"Ø25,Ø19",6
Res0008_AB_0_RTZ_001,AB,RTZ,001,'Typ-Nr.\nKenn-Nr.',,16,IT16,2,IT18,0,,6
Res0009_AD_3_RTZ_001,AD,RTZ,001,'1009R6789',,65,IT13,14,IT14,5,"Ø40.5 +0.5/0,Ø25,Ø25,(Ø25),Ø40.5 +0.5/0",7
Res0010_AC_0_RTZ_001,AC,RTZ,001,'1010R1357',,88,IT15,2,,0,,11
Res0011_AC_0_RTZ_001,AC,RTZ,001,,,24,1.7,4,IT15,0,,5
Res0012_AD_0_RTZ_001,AD,RTZ,001,'R1012_4567',3.397,23,IT15,6,IT15,0,,5
Res0013_AC_2_ETZ_001,AC,ETZ,001,'RA1013_8910',,114,IT12,15,IT14,1,Ø16,20
Res0014_AF_0_RTZ_001,AF,RTZ,001,'Index\n0R1014 400.20.67.00\nF',,32,IT15,8,IT12,0,,5
Res0015_AC_0_RTZ_001,AC,RTZ,001,,,116,IT12,10,,5,"Ø8.2,Ø25,Ø140,(Ø823),Ø92",15
Res0016_AH_0_RTZ_001,AH,RTZ,001,'Typ-Nr\nKenn-Nr.\n7',,24,8.0,6,,2,"Ø13.4,Ø14.6",8
Res0017___b,,,,'N du\n0R0017',,125,IT3,14,,2,"Ø3,Ø24",19
Res0018_AE_5_RTZ_001,AE,RTZ,001,'47.00.00',10.320,38,IT13,3,IT13,0,,7
Res0019_AE_1_ETZ_001,AE,ETZ,001,'RA10198967',,13,IT14,8,IT8,0,,5
Res0020_AC_0_RTZ_001,AC,RTZ,001,'Typ-Nr\nKenn-Nr.\n8',,29,8.0,2,,1,Ø107,11
Res0021_RA69825186,,,,'N° du\n/Index\nRES RA1021 AA',,17,0.2,0,,0,,5
Res0022_AG_4_ETZ_001,AG,ETZ,001,,,63,IT16,5,IT16,0,,10
Res0023_AD_1_ETZ_001,AD,ETZ,001,'RA1023_12345',,41,IT7,0,,0,,9
Res0024_AC_23_ETZ_001,AC,ETZ,001,,,141,IT8,16,,1,Ø17,17
